obs,t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x11,y1,y2,temp,d_l_y1,d_l_y2,l_y1,l_y2,d_x4,d_x5,d2000,time,timesq
1974,1974,0.0292000007629,0.71,6.6734717023931,988014.478,1.09736711056811,48.2545083361688,2.25717682500227,0.844829715021483,2389.2,174.233353695785,6633.522930463,7.36771581103238,6.04081333333333,NA,NA,8.79989130411786,1.99710772750235,NA,NA,1,1,1
1975,1975,0.0462000007629,1,6.40247160664147,1145607.47,1.25012409495905,48.0515695285099,2.36995589513117,0.800599642926353,2480.4,199.039715406566,7519.149015342,8.20513972178155,6.54688416666667,0.125316943569167,0.107653025752919,8.92520824768703,2.10476075325527,157592.992,0.15275698439094,1,2,4
1976,1976,0.049,1.05,6.24474936992439,1196193.735,1.28528313553995,48.8957341547653,2.39267236549856,0.78441340010355,2522.3,204.030364731354,7082.4832206343,7.60996816391615,5.88244416666667,-0.0598283851155141,-0.0753017648442795,8.86537986257152,2.02945898841099,50586.2650000001,0.0351590405809001,1,3,9
1977,1977,0.06,1.11,6.11024998351032,1310310.775,1.38884289658754,49.153255062331,2.40612682554029,0.751708751920456,2486.9,220.657053065594,8048.54154056005,8.53092255651838,6.23264166666667,0.127866316341196,0.114238521584128,8.99324617891271,2.14369750999511,114117.04,0.10355976104759,1,4,16
1978,1978,0.086,1.54,5.87703567627462,1462168.579,1.52920110964112,47.3683826852702,2.47782381204809,0.649989416404471,2791.8,246.555772277797,6880.06197178468,7.19547564676042,6.48638666666667,-0.156863240499046,-0.170245063882456,8.83638293841367,1.97345244611266,151857.804,0.140358213053576,1,5,25
1979,1979,0.123,2.519,5.99438451731202,1494859.884,1.5426750986837,45.6458521351727,2.49202954912523,0.718271901619975,3032.5,267.374265354668,8202.32287668596,8.46468581347461,6.51429166666667,0.175789732367774,0.162450452832605,9.01217267078144,2.13590289894526,32691.3050000002,0.013473989042583,1,6,36
1980,1980,0.1209000015259,2.568,5.79557119812289,1467192.369,1.49525074931082,44.0702449039449,2.45342194100935,0.837107505567271,2937.3,281.624687256366,8794.38144192882,8.96256395453568,6.39559083333333,0.0696956532663986,0.0571534427470017,9.08186832404784,2.19305634169227,-27667.5150000001,-0.0474243493728841,1,7,49
1981,1981,0.1553999938965,3.236,5.88599523813034,1451501.276,1.46043181655825,42.8369243924193,2.44568343386552,0.949847681823884,3081.6,285.817775698396,9011.40875533564,9.06685255873229,6.4282225,0.0243783689756789,0.0115688455327518,9.10624669302352,2.20462518722502,-15691.0929999999,-0.034818932752563,1,8,64
1982,1982,0.1841999969482,3.942,5.9430738426925,1580260.647,1.56673968353113,43.29104789127,2.58184096769319,1.04537509549766,3456,299.197921933712,9435.75458934662,9.35502076018621,6.65474333333333,0.0460147392542876,0.0312879916526305,9.1522614322778,2.23591317887765,128759.371,0.106307866972873,1,9,81
1983,1983,0.216,3.836,5.99881478288977,1667029.201,1.62905590778943,43.4510020471932,2.61943694292607,1.16701335441299,3716.1,317.020257790894,10613.4220034045,10.3716586404946,6.40731,0.117613273569638,0.103163776619546,9.26987470584744,2.33907695549719,86768.5539999998,0.0623162242583011,1,10,100
